,codeplas,ABS440_gem
1,ANTARE0025,"0,02455"
2,ANTARE0309,"0,030425"
3,ANTBAA0036,"0,0159666666666667"
4,ANTMRK0177,"0,0465"
5,ANTMRK0204,"0,13205"
6,ANTMRK0206,"0,00410833333333333"
7,ANTOTH0270,"0,02806"
8,ANTOTH0271,"0,0443454545454545"
9,ANTOTH0306,"0,0548636363636364"
10,ANTOTH0324,"0,0334904761904762"
11,ANTRAV0014,"0,0592083333333333"
12,ANTRAV0052,"0,0334291666666667"
13,ANTRAV0122,"0,0348909090909091"
14,ANTRAV0175,"0,068625"
15,ANTRAV0188,"0,00949166666666667"
16,ANTRAV0208,"0,0575416666666667"
17,ANTRAV0211,"0,0124538461538462"
18,ANTRAV0230,"0,010216"
19,ANTRAV0293,"0,0703045454545455"
20,ANTRAV0296,"0,052125"
21,ANTRAV0297,"0,04465"
22,ANTRAV0369,"0,0306083333333333"
23,ANTRAV0381,"0,0157"
24,ANTTUR0018,"0,0222846153846154"
25,ANTTUR0022,"0,0426727272727273"
26,ANTTUR0046,"0,0386090909090909"
27,ANTTUR0065,"0,023925"
28,ANTTUR0077,"0,0409333333333333"
29,ANTTUR0079,"0,0231272727272727"
30,ANTTUR0082,"0,0442652173913043"
31,ANTTUR0094,"0,012232"
32,ANTTUR0257,"0,0163083333333333"
33,ANTTUR0270,"0,0242727272727273"
34,ANTTUR0273,"0,0355272727272727"
35,ANTTUR0277,"0,028925"
36,ANTTUR0282,"0,0283785714285714"
37,ANTTUR0287,"0,0620090909090909"
38,ANTTUR0292,"0,0242642857142857"
39,ANTTUR0295,"0,0241083333333333"
40,ANTTUR0296,"0,0359875"
41,ANTTUR0297,"0,0323357142857143"
42,ANTTUR0299,"0,0655133333333333"
43,ANTTUR0300,"0,0659916666666667"
44,ANTTUR0301,"0,0443583333333333"
45,ANTTUR0302,"0,0382583333333333"
46,ANTTUR0304,"0,0307"
47,ANTTUR0305,"0,181933333333333"
48,ANTTUR0674,"0,0989833333333333"
