"";"codeplas";"Ca_gem"
"1";"ANTMRK0177";2,10833333333333
"2";"ANTMRK0204";2,15333333333333
"3";"ANTMRK0206";15,2641666666667
"4";"ANTOTH0271";3,14090909090909
"5";"ANTOTH0306";1,37454545454545
"6";"ANTOTH0324";1,37833333333333
"7";"ANTRAV0014";2,52333333333333
"8";"ANTRAV0052";11,29
"9";"ANTRAV0122";1,05454545454545
"10";"ANTRAV0175";1,0925
"11";"ANTRAV0188";5,42
"12";"ANTRAV0208";3,74166666666667
"13";"ANTRAV0211";14,4475
"14";"ANTRAV0230";2,46153846153846
"15";"ANTRAV0293";14,055
"16";"ANTTUR0018";1,85153846153846
"17";"ANTTUR0022";0,709090909090909
"18";"ANTTUR0046";2,42181818181818
"19";"ANTTUR0065";6,58083333333333
"20";"ANTTUR0077";4,84583333333333
"21";"ANTTUR0079";8,95454545454546
"22";"ANTTUR0082";26,9984615384615
"23";"ANTTUR0094";2,4425
"24";"ANTTUR0257";1,075
"25";"ANTTUR0270";4,26363636363636
"26";"ANTTUR0273";1,82272727272727
"27";"ANTTUR0277";5,10666666666667
"28";"ANTTUR0282";2,5425
"29";"ANTTUR0287";23,1072727272727
"30";"ANTTUR0292";2,095
"31";"ANTTUR0295";0,830909090909091
"32";"ANTTUR0296";2,38583333333333
"33";"ANTTUR0297";2,23125
"34";"ANTTUR0299";18,14
"35";"ANTTUR0300";7,74833333333333
"36";"ANTTUR0301";5,15666666666667
"37";"ANTTUR0302";2,13083333333333
"38";"ANTTUR0304";2,86833333333333
"39";"ANTTUR0305";1,06
"40";"ANTTUR0674";5,585
