"";"codeplas";"Ca_mean"
"1";"ANTARE0025";19,9041666666667
"2";"ANTARE0309";17,7833333333333
"3";"ANTBAA0036";44,9691666666667
"4";"ANTMRK0177";2,10833333333333
"5";"ANTMRK0204";2,15333333333333
"6";"ANTMRK0206";15,2641666666667
"7";"ANTOTH0015";8,45666666666667
"8";"ANTOTH0270";7,697
"9";"ANTOTH0271";2,96117647058824
"10";"ANTOTH0306";1,47772727272727
"11";"ANTOTH0324";1,47142857142857
"12";"ANTRAV0014";2,99666666666667
"13";"ANTRAV0052";11,1733333333333
"14";"ANTRAV0122";1,05454545454545
"15";"ANTRAV0175";1,0925
"16";"ANTRAV0188";5,42
"17";"ANTRAV0208";3,74166666666667
"18";"ANTRAV0211";14,0869230769231
"19";"ANTRAV0230";2,9556
"20";"ANTRAV0293";15,2204545454545
"21";"ANTRAV0296";15,455
"22";"ANTRAV0297";6,94333333333333
"23";"ANTRAV0369";23,48
"24";"ANTRAV0381";56,3125
"25";"ANTTUR0018";1,85153846153846
"26";"ANTTUR0022";0,709090909090909
"27";"ANTTUR0046";2,42181818181818
"28";"ANTTUR0065";6,249
"29";"ANTTUR0077";4,87230769230769
"30";"ANTTUR0079";8,95454545454546
"31";"ANTTUR0082";29,34
"32";"ANTTUR0094";2,8748
"33";"ANTTUR0257";1,075
"34";"ANTTUR0270";4,26363636363636
"35";"ANTTUR0273";1,82272727272727
"36";"ANTTUR0277";5,03538461538462
"37";"ANTTUR0282";2,23857142857143
"38";"ANTTUR0287";23,2383333333333
"39";"ANTTUR0292";1,725
"40";"ANTTUR0295";0,81
"41";"ANTTUR0296";3,1112
"42";"ANTTUR0297";1,84928571428571
"43";"ANTTUR0299";16,226875
"44";"ANTTUR0300";7,74833333333333
"45";"ANTTUR0301";4,56777777777778
"46";"ANTTUR0302";2,13083333333333
"47";"ANTTUR0304";3,016
"48";"ANTTUR0305";1,06
"49";"ANTTUR0674";5,49846153846154
